Area,Build_date,Room,Parking,Warehouse,Elevator,Price,Address
95,1402,2,1,1,1,10450000000,"سازمان آب"
183,1401,3,1,1,1,21700000000,ظفر
114,1391,2,1,1,1,12540000000,"سازمان آبخیابان شربیانی (خ. نیلوفر)"
145,1392,3,1,1,1,15000000000,پونک
63,1402,1,1,0,1,4070000000,دیلمان
135,1374,2,1,1,1,18500000000,"شهرک غرب"
122,1387,3,1,1,1,11850000000,"شهرک پرواز"
92,1390,2,1,1,1,12800000000,"گیشا (کوی نصر)"
217,1387,3,1,1,1,26500000000,اختیاریه
60,1389,1,0,1,1,5000000000,"شهران شمالی"
65,1385,2,1,1,0,6050000000,"باغ فیضخیابان نیک زارع (خ. بیست و دو بهمن)"
260,1390,3,1,1,1,47000000000,نیاوران
160,1392,3,1,1,1,32000000000,الهیه
65,1382,1,0,1,0,3300000000,"ابوذر (منطقه ۱۵)"
110,1401,2,1,1,1,3300000000,"مبارک‌آباد بهشتی"
54,1386,1,1,1,1,6200000000,"کوی فردوسبلوار شقایق مرکزی (بزرگراه حکیم)"
78,1390,2,1,1,1,8100000000,"المهدیکوچه المهدی (کوچه المهدی)"
70,1388,2,1,1,1,6900000000,پونک
121,1401,2,1,1,1,18150000000,هروی
124,1402,2,1,1,1,16740000000,"دریاچه شهدای خلیج فارس"
77,1399,2,1,1,1,8900000000,"کوی فردوس"
173,1401,3,1,1,1,28000000000,قیطریه
43,1387,1,1,1,1,5000000000,"جنت‌آباد جنوبی"
45,1386,1,1,1,0,2350000000,آذربایجان
260,1401,3,1,1,1,56000000000,"نیاورانکوچه بوکان"
49,1390,1,0,1,0,3200000000,سلسبیل
76,1395,2,1,1,1,2180000000,"اندیشه (شهر زیبا)"
190,1383,3,1,1,1,40000000000,اکباتان
135,1370,3,0,0,1,14500000000,اکباتان
146,1370,3,1,1,1,13500000000,اکباتان
60,1370,1,0,0,1,8700000000,اکباتان
178,1370,4,1,1,1,20000000000,اکباتان
170,1370,3,1,1,1,14000000000,اکباتان
188,1370,4,0,0,1,17000000000,اکباتان
141,1370,3,0,0,1,15000000000,اکباتان
175,1390,3,1,1,1,20000000000,اکباتان
80,1388,2,1,1,1,10500000000,پونک
45,1381,1,0,1,0,2470000000,"شارق شرقی"
82,1402,2,1,1,1,12300000000,جلفا
99,1389,2,1,0,1,4300000000,فلاح
43,1391,1,0,0,0,1920000000,زمزم
64,1394,2,0,0,0,2880000000,طوس
148,1401,3,1,1,1,9500000000,فلاح
40,1391,1,0,0,0,2160000000,"امامزاده حسن(ع)"
93,1394,2,1,1,1,4200000000,فلاح
61,1386,1,0,0,0,2840000000,"امام سجاد(ع)"
57,1393,1,0,0,0,2600000000,فلاح
58,1394,1,1,0,0,2970000000,جلیلی
229,1397,3,1,1,1,43500000000,کامرانیه
80,1398,2,1,1,1,12450000000,"شهرک غرب"
151,1390,2,1,1,1,24300000000,"شهرک غرب"
78,1384,2,0,1,1,5400000000,"میدان ولیعصر"
152,1398,3,1,1,1,30400000000,نیاوران
300,1388,4,1,1,1,110000000000,الهیه
136,1393,3,1,1,1,14000000000,"جنت‌آباد جنوبیکوچه لاله یکم (بلوار آیت الله کاشانی)"
93,1390,2,1,1,1,13500000000,سعادت‌آباد
180,1401,3,1,1,1,22000000000,پاسداران
94,1402,2,1,1,1,6770000000,تهران‌سر
160,1392,3,1,1,1,18500000000,"سازمان برنامه"
107,1399,2,1,1,1,12300000000,"جنت‌آباد مرکزی"
74,1382,2,1,1,0,3740000000,سلسبیل
105,1379,2,1,1,1,14500000000,"سعادت‌آبادخیابان علامه طباطبایی جنوبی (بلوار فرهنگ)"
48,1397,1,1,1,1,4350000000,"تهرانپارس شرقی"
128,1387,3,1,1,1,15400000000,پونک
82,1401,2,0,1,1,2100000000,"شهرک ابوذر"
75,1385,2,0,1,0,5500000000,"باغ فیض"
60,1387,2,1,1,1,6050000000,"کوی فردوس"
76,1394,2,1,0,1,4450000000,آهنگ
78,1387,2,1,1,1,7500000000,"صادقیهبلوار اباذر (بزرگراه حکیم)"
118,1401,3,1,1,1,12500000000,آهنگ
130,1402,3,1,1,1,16900000000,جلفا
124,1396,3,1,1,1,11500000000,"جنت‌آباد مرکزی"
115,1395,2,1,1,1,12000000000,"جنت‌آباد مرکزی"
100,1400,2,1,1,1,9500000000,"تهرانپارس غربی"
140,1402,3,1,1,1,13000000000,"شهرک راه‌آهن"
132,1402,3,1,1,1,12800000000,"دریاچه شهدای خلیج فارس"
125,1401,3,1,1,1,16000000000,صادقیه
92,1395,2,1,1,1,8900000000,"جنت‌آباد مرکزی"
85,1397,2,1,1,1,5400000000,جیحون
131,1402,2,1,1,1,15600000000,هروی
118,1402,2,1,1,1,15340000000,دروس
81,1402,2,1,1,1,10100000000,"جنت‌آباد مرکزی"
52,1392,1,1,1,1,3090000000,مخصوص
105,1389,2,1,1,1,11200000000,"سازمان برنامه"
68,1396,2,0,1,1,2040000000,دیلمان
140,1401,3,1,1,1,18900000000,سیدخندان
126,1401,3,1,1,1,17640000000,سیدخندان
140,1401,3,1,1,1,13300000000,شادمهر
101,1400,2,1,1,1,13000000000,مرزداران
117,1401,2,1,1,1,15210000000,هروی
174,1401,3,1,1,1,20880000000,فرمانیه
110,1395,2,1,1,1,11200000000,"جنت‌آباد جنوبی"
330,1401,4,1,1,1,75900000000,نیاوران
74,1388,2,1,1,0,7950000000,"پونکبلوار فلاح زاده (همیلا) (بلوار میرزابابایی)"
50,1402,1,1,0,1,4500000000,کرمان
68,1401,2,1,1,1,4500000000,"شهرک سینمایی"
110,1397,2,1,1,1,13500000000,پونک
110,1400,3,1,1,1,2750000000,"مبارک‌آباد بهشتی"
171,1385,3,1,1,1,14500000000,"شهر زیبا"
45,1387,1,0,1,0,2050000000,"فلاحمیدان مقدم"
67,1386,2,1,1,1,4200000000,سلسبیل
100,1370,3,1,1,0,25300000000,مرزداران
360,1399,4,1,1,1,85000000000,الهیه
100,1394,2,1,1,1,7350000000,"دهکده المپیک"
110,1376,2,1,1,0,6160000000,حکیمیه
51,1389,1,1,1,0,3100000000,جیحون
255,1380,4,1,1,1,34500000000,سعادت‌آباد
117,1388,2,1,1,1,11300000000,"سازمان برنامهخیابان ورزی شمالی (بلوار ناصر حجازی)"
80,1383,2,1,1,1,10000000000,مرزداران
49,1393,1,0,1,0,2750000000,سبلان
132,1400,3,1,1,1,10300000000,تهران‌سر
74,1370,1,1,1,1,11500000000,اکباتان
53,1399,4,0,1,1,3550000000,جیحون
75,1385,2,1,1,1,5500000000,"آذربایجانمیدان جمهوری اسلامی (خیابان توحید)"
144,1400,3,1,1,1,17800000000,هروی
120,1401,2,1,1,1,3060000000,کوهک
92,1384,2,1,1,1,8600000000,اباذر
120,1396,2,1,1,1,9954000000,"دریاچه شهدای خلیج فارس"
75,1376,2,0,1,1,4100000000,بهار
120,1401,3,1,1,1,3200000000,"مبارک‌آباد بهشتی"
72,1380,2,0,1,0,5850000000,"شهرک پرواز"
